478;21131;COMMUNAUTE DE COMMUNES  BROCELIANDE
479;23662;COMMUNAUTE DE COMMUNES ALPES D'AZUR
480;23552;COMMUNAUTE DE COMMUNES AVRANCHES - MONT ST MICHEL
481;19939;COMMUNAUTE DE COMMUNES BAIE DU MONT SAINT MICHEL
482;23691;COMMUNAUTE DE COMMUNES CANTON ST PIERRE EGLISE
483;22785;COMMUNAUTE DE COMMUNES DE BONNEE
484;23234;COMMUNAUTE DE COMMUNES DE COGNAC
485;19243;COMMUNAUTE DE COMMUNES DE JARNAC
486;19418;COMMUNAUTE DE COMMUNES DE L'ERNêE
487;23405;COMMUNAUTE DE COMMUNES DE L'ILE D'OLERON
488;20988;COMMUNAUTE DE COMMUNES DE L.A. MERIDIONALE
489;23522;COMMUNAUTE DE COMMUNES DE LA BOIXE
490;19167;COMMUNAUTE DE COMMUNES DE LA FERTE ST AUBIN
491;19466;COMMUNAUTE DE COMMUNES DE PAIMPOL-GOELO
492;23530;COMMUNAUTê DE COMMUNES DES 2 SARRES
493;20755;COMMUNAUTE DE COMMUNES DES 4B SUD CHARENTE
494;18925;COMMUNAUTE DE COMMUNES DIGOIN VAL DE LOIRE
495;19492;COMMUNAUTE DE COMMUNES DU CANTON DE GEMOZAC
496;19585;COMMUNAUTE DE COMMUNES DU HAUT TREGOR
497;23196;COMMUNAUTE DE COMMUNES DU MENE
498;22939;COMMUNAUTE DE COMMUNES DU PAYS DE COMMERCY
499;23657;COMMUNAUTE DE COMMUNES DU PAYS DE LIVAROT
500;18611;COMMUNAUTE DE COMMUNES DU PAYS DE NUITS ST GEORGES
501;19519;COMMUNAUTê DE COMMUNES DU PAYS DE QUIMPERLê
502;19283;COMMUNAUTE DE COMMUNES DU PAYS DE REDON
503;20592;COMMUNAUTE DE COMMUNES DU ROUILLACAIS
504;18278;COMMUNAUTE DE COMMUNES DU SILLON MOSELLAN
505;5344;COMMUNAUTE DE COMMUNES DU TILLEUL
506;21458;COMMUNAUTE DE COMMUNES DU VAL D'OUST ET DE LANVAUX
507;23501;COMMUNAUTE DE COMMUNES DU VAL DU LOIR
508;18077;COMMUNAUTE DE COMMUNES ENTRE SOMME ET LOIRE
509;19551;COMMUNAUTE DE COMMUNES ILE DE RE
510;23071;COMMUNAUTE DE COMMUNES LA PLAINE JURASSIENNE
511;19977;COMMUNAUTE DE COMMUNES LANVOLLON PLOUHA
512;19503;COMMUNAUTE DE COMMUNES PAYS AUGE
513;23189;COMMUNAUTE DE COMMUNES PAYS BELMONTAIS
514;22891;COMMUNAUTE DE COMMUNES PAYS CORBIGEOIS
515;23044;COMMUNAUTE DE COMMUNES PAYS D'APT LUBERON
516;23608;COMMUNAUTE DE COMMUNES SUD EST DU PAYS MANCEAU
517;20705;COMMUNAUTE DE COMMUNES SUD GOELO
518;19532;COMMUNAUTE DE COMMUNES TUDE ET DRONNE
519;22752;COMMUNAUTE DE COMMUNES VAL DE SAONE CHALARONNE
520;19486;COMMUNAUTE DES COMMUNES DE LOC'H
521;19449;COMMUNAUTE URBAINE DE CHERBOURG
522;18159;COMMUNAUTE URBAINE DE CREUSOT MONTCEAU
523;23678;COMMUNAUTE URBAINE DU GRAND NANCY
524;19510;COMMUNAUTE URBAINE DU GRAND TOULOUSE
525;18098;COMMUNAUTE URBAINE LE GRAND NANCY
526;23276;COMMUNE AURIBEAU SUR SIAGNE
527;19356;COMMUNE D'ABLON SUR SEINE
528;23509;COMMUNE D'ABRESCHVILLER
529;23392;COMMUNE D'AGGLOMERATION EPINAL
530;19461;COMMUNE D'AMFREVILLE
531;23177;COMMUNE D'ARACHES
532;23539;COMMUNE D'ATTIGNY
533;18431;COMMUNE D'AUGNY
534;23518;COMMUNE D'AZE
535;23077;COMMUNE D'ELVEN
536;23742;COMMUNE D'ENNERY
537;1985;COMMUNE D'HAGONDANGE
538;19333;COMMUNE D'HERBIGNAC
539;23636;COMMUNE DE AZE
540;1973;COMMUNE DE BAR LE DUC
541;4095;COMMUNE DE BELFORT
542;20981;COMMUNE DE BELGEARD
543;23191;COMMUNE DE BELLEVAUX
544;19378;COMMUNE DE BENON
545;18833;COMMUNE DE BERNOUIL
546;23362;COMMUNE DE BOOS
547;22900;COMMUNE DE BRUYERES
548;18622;COMMUNE DE BURE
549;19584;COMMUNE DE CERENCES
550;22710;COMMUNE DE CHALMOUX
551;22947;COMMUNE DE CHALONNES SUR LOIRE
552;18285;COMMUNE DE CHATOU
553;19199;COMMUNE DE CHERMIGNAC
554;19553;COMMUNE DE CHEVANCEAUX
555;23571;COMMUNE DE CHISSEY EN MORVAN
556;23499;COMMUNE DE CLERMONT EN ARGONNE
557;2565;COMMUNE DE COURCELLES-CHAUSSY
558;23532;COMMUNE DE CROSSAC
559;9280;COMMUNE DE DOMECY SUR CURE
560;23384;COMMUNE DE EPERNAY
561;21221;COMMUNE DE GAVRES (56)
562;23757;COMMUNE DE GOUDELIN
563;23623;COMMUNE DE GRAND FAILLY
564;5337;COMMUNE DE HEIMERSDORF
565;23763;COMMUNE DE HIERES SUR AMBY
566;5225;COMMUNE DE HUNINGUE
567;19028;COMMUNE DE IRVILLAC
568;23687;COMMUNE DE JARVILLE LA MALGRANGE
569;23490;COMMUNE DE JAVRON LES CHAPELLES
570;23434;COMMUNE DE KUTZENHAUSEN
571;23708;COMMUNE DE LA GUICHE
