N_Client,Nom_Client
21850,LYCEE ST SAUVEUR REDON
21852,SDEL
21855,LE DUFF
21856,SCI BC HOLDINGS
21857,SCI ISAAC HOLDINGS
21859,CIAS DU CONFOLENTAIS
21471,PLMP
21475,SA SODIREC
21479,HMY FRANCE
22736,MAIRIE TREVOU-TREGUIGNEC
23790,SCCV REGATA
23791,SCI BP MIXTE
23792,SCI ACTIVITES COURRIER DE PROXIMITE
23796,NXN3 - NXNE AUVERGNE 
23797,NXN1 - NXNE BOURGOGNE
23799,IMMOBILIERE RHONE ALPES
23800,AI33 - NOX BORDEAUX
23689,ETABLISSEMENT PUBLIC FONCIER POITOU-CHARENTES
23694,L'IMMOBILIERE EUROPEENNE DES MOUSQUETAIRES
23709,COMMUNE DE PORTO VECCHIO
18767,SRCI/LE CREUSOT
18820,GRANIOU FIBCOM (63)
21863,ENTREPRISE CLEMENT ET FILS
21864,FIGA
21867,ALLARD
21870,MAIRIE DE ST QUENTIN LES ANGES
21872,SAS BBR
21876,FINANCIERE BERNARD
21489,MBS
4455,SETEC
18788,PLECSA
18806,SNCF / ACHERES
21881,DELOURMEL
21883,FERRE HOTEL
21884,RIVOALLAN
21885,AGENCE ALLEGRE & BONANDRINI
21886,SARL NORMAND
21887,COMMUNE DE LISSES
20472,OPAC EMERAUDE HABITATION
20478,MUTUALITEDELACHARENTE
21496,ENTREPRISE ERS
21890,IMHOTEP QUIBERON
21893,DROUIN BATIMENT
21897,EIFFAGE ENERGIE POITOU-CHARENTES
21898,FAIRCHILD 71
21899,SAS GUERIF
21900,JENNYFER
10039,CLEMESSY
21515,ACR
22751,SARL PASSION VELO
21907,IAP ARCHITECTURE
21910,CONSTRUCTION DU HAUT ANJOU
21911,AB+L ARCHITECTURE
21913,SCI EVOLUTION
21915,TERRE ET BAIE HABITAT
19118,SFR AUDIOPHONE
19123,PATRIMMO COMMERCE
12824,S A S M
21532,PROMOTION IMMOBILIERE
22822,COLAS SA
19569,VILLE DE LONGNES
19570,CONSEIL ET ASSISTANCE GT LOCATION PARIS
19571,CONSEIL REGIONAL DE BASSE NORMANDIE
19572,MAIRIE DE SILLE LE GUILLAUME
19574,S.I.A.E.P DE LA REGION DE LOUVERNE
19575,HABITATION FAMILIALE
19577,COMMUNE DE SAINTE RADEGONDE
19578,MAIRIE DE GENSAC LA PALLUE
19579,CENTRE HOSPITALIER ESQUIROL
10068,MAIRIE DE ST JEAN DE BOURNAY
22902,ENTREPRISE SMEE
22994,NX69 - NOX RHONE ALPES
22995,NX35 - NOX RENNES
1755,SCHNEIDER ELECTRIC INDUSTRIES SAS
18777,BREZILLON SA
1770,MERLIN GERIN ALPES
1771,AIRBUS FRANCE
10093,MAIRIE DE TARARE
20997,PERSONNIC
20998,ENTREPRISE CBI
19124,SCCV LA LANDE BOURNE
19224,SAUMUR LOIRE HABITAT
19225,NANTES HABITAT
19226,LA POSTE
19227,HOPITAL DE JOSSELIN
19229,CARREFOUR
19230,OPAC DE LOIRE ATLANTIQUE
18779,CREDIT COOPERATIF
4558,SNEP-CHALON SUR SAONE
21147,EIFFAGE CONSTRUCTION
15619,CA SAINT QUENTIN EN YVELINES
15620,CA PLAINE COMMUNE
18334,FONTANEL PROMOTION 
18336,DRIEA
18841,HOPITAL LOCAL DE CHAZELLES SUR LYON
10134,IMERYS TC
10139,PERILLAT TP
15625,DEFACTO_ETABLISSEMENT PUBLIC DE GESTION
20570,MAIRIE DE MONTCHAUDE
20571,SAS GUILLAUME QUELAIS
1817,SNCF
18814,BOREALIS AB
10143,EIFFAGE TRAVAUX PUBLICS
10144,DIR CENTRE EST
10149,CC CHAMOUSSET EN LYONNAIS
20600,PREFECTURE DE LA MANCHE
1826,HARFLEUR 2000 SA
18557,NEXIMMO 42
1833,CFA
20995,BREST AVENIR IMMOBILIER
21000,SCI BPG
20629,SARL VALTOM
20632,COMMUNAUTE COMMUNES LA FERTE SAINT MICHEL
1845,CREUSOT FORGE
1850,LE GRAND AUTUNOIS MORVAN
18852,CROUS DE PARIS
